id,x,y,latitude,longitude,label,tags,url,xywh
point_94,,,28.3314585,129.2878372,より瀬,干瀬,"https://maps.app.goo.gl/?q=28.3314585,129.2878372",
point_95,,,28.332007,129.2740926,宮里立神,その他,"https://maps.app.goo.gl/?q=28.332007,129.2740926",
point_96,,,28.3061867,129.211373,くらき崎,崎,"https://maps.app.goo.gl/?q=28.3061867,129.211373",
point_97,,,28.3270001,129.2658115,けん崎,崎,"https://maps.app.goo.gl/?q=28.3270001,129.2658115",
point_98,,,28.2916973,129.1988063,いたてく嶋,島,"https://maps.app.goo.gl/?q=28.2916973,129.1988063",
point_99,,,28.3054368,129.1855812,とぐら崎,崎,"https://maps.app.goo.gl/?q=28.3054368,129.1855812",
point_100,,,28.286792,129.1919584,大ひせの崎,崎,"https://maps.app.goo.gl/?q=28.286792,129.1919584",
point_101,,,28.2848007,129.2205807,赤崎,崎,"https://maps.app.goo.gl/?q=28.2848007,129.2205807",
point_102,,,28.2949428,129.217361,小嶋,その他,"https://maps.app.goo.gl/?q=28.2949428,129.217361",
point_103,,,28.2757994,129.279128,こほれん崎,崎,"https://maps.app.goo.gl/?q=28.2757994,129.279128",
point_104,,,28.2649291,129.2552956,おり崎,崎,"https://maps.app.goo.gl/?q=28.2649291,129.2552956",
point_105,,,28.266926,129.2431216,白田崎,崎,"https://maps.app.goo.gl/?q=28.266926,129.2431216",
point_106,,,28.2692137,129.2141101,大だへん崎,崎,"https://maps.app.goo.gl/?q=28.2692137,129.2141101",
point_107,,,28.261969,129.1991499,宮崎,崎,"https://maps.app.goo.gl/?q=28.261969,129.1991499",
point_108,,,28.2698368,129.181532,やとん崎,崎,"https://maps.app.goo.gl/?q=28.2698368,129.181532",
point_109,,,28.254108,129.134148,とのはら,その他,"https://maps.app.goo.gl/?q=28.254108,129.134148",
point_110,,,28.2510564,129.1476098,そつかうのおかみ,その他,"https://maps.app.goo.gl/?q=28.2510564,129.1476098",
point_111,,,28.2382311,129.1563387,ゑらふ瀬,干瀬,"https://maps.app.goo.gl/?q=28.2382311,129.1563387",
point_112,,,28.228794,129.1625479,奥立神,その他,"https://maps.app.goo.gl/?q=28.228794,129.1625479",
point_113,,,28.2282331,129.1736158,通り瀬,干瀬,"https://maps.app.goo.gl/?q=28.2282331,129.1736158",
point_114,,,28.2049967,129.1508582,赤瀬,干瀬,"https://maps.app.goo.gl/?q=28.2049967,129.1508582",
point_115,,,28.2255721,129.1872403,ゑたな,その他,"https://maps.app.goo.gl/?q=28.2255721,129.1872403",
point_116,,,28.2286891,129.194498,通り瀬,干瀬,"https://maps.app.goo.gl/?q=28.2286891,129.194498",
point_117,,,28.2207737,129.2114463,玉のうら崎,崎,"https://maps.app.goo.gl/?q=28.2207737,129.2114463",
point_118,,,28.220865,129.2286854,一ツ玉,その他,"https://maps.app.goo.gl/?q=28.220865,129.2286854",
point_119,,,28.2075948,129.253447,あふねの崎,崎,"https://maps.app.goo.gl/?q=28.2075948,129.253447",
point_120,,,28.2280101,129.2641474,長ひちや,その他,"https://maps.app.goo.gl/?q=28.2280101,129.2641474",
point_121,,,28.2303848,129.2697372,長崎,崎,"https://maps.app.goo.gl/?q=28.2303848,129.2697372",
point_122,,,28.2169185,129.2661437,さかい崎,崎,"https://maps.app.goo.gl/?q=28.2169185,129.2661437",
